Injury Severity,Investigation Type,Country,Amateur Built,Aircraft Category,Airport Code,Aircraft Damage,Make,Broad Phase of Flight,Purpose of Flight,FAR Description,Weather Condition,Year,Month,Weekday,State
Non-Fatal,Accident,United States,No,Airplane,SGJ,Substantial,Other,APPROACH,Personal,Part 91,VMC,2019,11,6, FL
Non-Fatal,Accident,United States,No,Airplane,DWH,Substantial,Air Tractor,TAKEOFF,Personal,Part 91,VMC,2019,11,5, TX
Fatal,Accident,United States,No,Airplane,EWB,Destroyed,Air Tractor,MANEUVERING,Personal,Part 91,VMC,2019,11,0, MA
Fatal,Accident,United States,Yes,Gyroplane,4A4,Substantial,Other,MANEUVERING,Flight Test,Part 91,VMC,2019,11,0, GA
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Air Tractor,DESCENT,Personal,Part 91,VMC,2019,11,6, FL
Non-Fatal,Accident,United States,Yes,Helicopter,NonAirport,Substantial,Other,LANDING,Personal,Part 91,VMC,2019,11,5, FL
Fatal,Accident,United States,No,Airplane,SUA,Destroyed,Air Tractor,MANEUVERING,Air Race_Show,Part 91,VMC,2019,11,4, FL
Non-Fatal,Accident,United States,No,Airplane,AZO,Substantial,Other,TAKEOFF,Personal,Part 91,VMC,2019,11,4, MI
Fatal,Accident,United States,No,Airplane,PAH,Destroyed,Air Tractor,APPROACH,Personal,Part 91,VMC,2019,10,3, KY
Fatal,Accident,United States,No,Airplane,OCF,Destroyed,Air Tractor,TAKEOFF,Flight Test,Part 91,VMC,2019,10,3, FL
Fatal,Accident,United States,No,Airplane,PDK,Destroyed,Air Tractor,TAKEOFF,Personal,Part 91,IMC,2019,10,2, GA
Fatal,Accident,United States,No,Airplane,LDJ,Destroyed,Air Tractor,APPROACH,Personal,Part 91,IMC,2019,10,1, NJ
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Air Tractor,TAKEOFF,Personal,Part 91,VMC,2019,10,6, AL
Non-Fatal,Accident,United States,No,Airplane,6MN9,Destroyed,Air Tractor,TAKEOFF,Personal,Part 91,VMC,2019,10,6, MN
Fatal,Accident,United States,No,Helicopter,NonAirport,Substantial,Other,CRUISE,Personal,Part 91,VMC,2019,10,4, OR
Fatal,Accident,United States,No,Airplane,NonAirport,Destroyed,Other,UNKNOWN,Personal,Part 91,VMC,2019,10,3, WV
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Air Tractor,CRUISE,Personal,Part 91,VMC,2019,10,3, IA
Non-Fatal,Accident,United States,Yes,Airplane,3B8,Substantial,Other,TAKEOFF,Personal,Part 91,VMC,2019,10,2, WA
Fatal,Accident,United States,No,Helicopter,VGT,Substantial,Other,MANEUVERING,Personal,Part 91,VMC,2019,10,2, NV
